#Sample ID,genomicsSampleID,Site_Name,Year,Month,Site,domainID,plotID,namedLocation,release,plotType,nlcdClass,elevation,soilTemp,soilMoisture,soilInWaterpH,soilInCaClpH,caclpHRatio,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,kclAmmoniumNConc,kclNitrateNitriteNConc
18S_12-1115,WOOD_001-M-20180723-COMP,WOOD_2018-07,2018,7,WOOD,D09,WOOD_001,WOOD_001.basePlot.bgc,RELEASE-2023,distributed,grasslandHerbaceous,596.3,18.1,0.219333333,7.263333333,6.836666667,2,0,0,0,0,0,0,0
18S_12-1116,WOOD_045-M-20180723-COMP,WOOD_2018-07,2018,7,WOOD,D09,WOOD_045,WOOD_045.basePlot.bgc,RELEASE-2023,tower,grasslandHerbaceous,593.2,21.35,0.12,7.89,7.475,2,0,0,0,0,0,0,0
18S_12-1117,WOOD_024-M-20180725-COMP,WOOD_2018-07,2018,7,WOOD,D09,WOOD_024,WOOD_024.basePlot.bgc,RELEASE-2023,distributed,emergentHerbaceousWetlands,586.6,0,1.790333333,7.95,7.696666667,3.333333333,0,0,0,0,0,0,0
18S_12-1118,WOOD_005-M-20180724-COMP,WOOD_2018-07,2018,7,WOOD,D09,WOOD_005,WOOD_005.basePlot.bgc,RELEASE-2023,distributed,grasslandHerbaceous,590.3,21.36666667,0.125666667,7.866666667,7.45,2,0,0,0,0,0,0,0
18S_12-1119,WOOD_003-O-20180723-COMP,WOOD_2018-07,2018,7,WOOD,D09,WOOD_003,WOOD_003.basePlot.bgc,RELEASE-2023,distributed,grasslandHerbaceous,585.7,22,0.289,7.33,6.85,4,0,0,0,0,0,0,0
18S_12-1120,WOOD_045-O-20180723-COMP,WOOD_2018-07,2018,7,WOOD,D09,WOOD_045,WOOD_045.basePlot.bgc,RELEASE-2023,tower,grasslandHerbaceous,593.2,21.1,0.498,6.76,6.13,4,0,0,0,0,0,0,0
18S_12-1121,WOOD_024-M-20180725-COMP,WOOD_2018-07,2018,7,WOOD,D09,WOOD_024,WOOD_024.basePlot.bgc,RELEASE-2023,distributed,emergentHerbaceousWetlands,586.6,0,1.790333333,7.95,7.696666667,3.333333333,0,0,0,0,0,0,0
18S_12-1122,WOOD_004-M-20180723-COMP,WOOD_2018-07,2018,7,WOOD,D09,WOOD_004,WOOD_004.basePlot.bgc,RELEASE-2023,distributed,grasslandHerbaceous,594.1,18.06666667,0.186333333,7.02,6.473333333,2,0,0,0,0,0,0,0
18S_12-1123,WOOD_042-M-20180723-COMP,WOOD_2018-07,2018,7,WOOD,D09,WOOD_042,WOOD_042.basePlot.bgc,RELEASE-2023,tower,grasslandHerbaceous,584.5,22.5,0.214333333,6.23,5.636666667,2,0,0,0,0,0,0,0
BMI_18S_05_0377,MLBS_005-O-20180611-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_005,MLBS_005.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,1266.8,14.53333333,0.549,4.13,2.99,4.033333333,2.966666667,-27.56666667,0.3,5.883333333,19.6,0.394333333,0.310666667
