,Domain,SuperGroup,Kingdom,Phylum,Subphylum/Class,Class/Order,Genus
OTU_17,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,AND16-lineage,AND16-lineage_X
OTU_20,Eukaryota,Amoebozoa,Conosa,Variosea,ATCC50593-Flamella-WIM80-lineage,ATCC50593-lineage,ATCC50593-lineage_X
OTU_22,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Abatia
OTU_23,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Abedinium
OTU_24,Eukaryota,Opisthokonta,Mesomycetozoa,Ichthyosporea,Ichthyosphonida,Abeoformidae_Group_MAIP_1,Abeoformidae_Group_MAIP_1_X
OTU_25,Eukaryota,Opisthokonta,Mesomycetozoa,Ichthyosporea,Ichthyosphonida,Abeoformidae_Group_MAIP_2,Abeoformidae_Group_MAIP_2_X
OTU_26,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Abies
OTU_28,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Abortiporus
OTU_29,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Abrothallus
OTU_31,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Absidia
OTU_32,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Acacia
OTU_33,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Acalypha
OTU_34,Eukaryota,Amoebozoa,Lobosa,Lobosa_X,Centramoebida,Acanthamoebidae,Acanthamoeba
OTU_35,Eukaryota,Amoebozoa,Lobosa,Lobosa_X,Centramoebida,Acanthamoebidae,Acanthamoebagenotypenames
OTU_36,Eukaryota,Amoebozoa,Lobosa,Lobosa_X,Centramoebida,Acanthamoebidae,Acanthamoebidae_X
OTU_37,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_1,Acantharea_1_X,Acantharea_1_XX
OTU_38,Eukaryota,Opisthokonta,Metazoa,Mollusca,Polyplacophora,Polyplacophora_X,Acanthobdella
OTU_39,Eukaryota,Opisthokonta,Metazoa,Porifera,Porifera_X,Demospongiae,Acanthochaetetes
OTU_40,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_B,Acantharea_B1,Acanthochiasma
OTU_41,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Acanthocyclops
OTU_42,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Acanthocystida,Acanthocystidae,Acanthocystis
OTU_43,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Acanthodrilidae
OTU_44,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Acanthoecidae_Group_G,Acanthoeca
OTU_45,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Acanthoecidae_Group_G,Acanthoecidae_Group_G_X
OTU_46,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Acanthogilia
OTU_47,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Malacostraca,Acanthomysis
OTU_48,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Acanthopharynx
OTU_49,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Acanthophysium
OTU_50,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Acanthorhynchus
OTU_51,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Acanthoscurria
OTU_52,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Acanthostigma
OTU_53,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarospora
OTU_54,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarosporina
OTU_55,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Acarus
OTU_56,Eukaryota,Opisthokonta,Fungi,Zoopagomycota,Zoopagomycotina,Zoopagomycotina_X,Acaulopage
OTU_57,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycotina_X,Acaulospora
OTU_58,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Acephala
OTU_59,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Protura,Acerentomon
OTU_60,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Protura,Acerentulus
OTU_61,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycetes,Acervus
OTU_62,Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Limoida,Acesta
OTU_67,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Achaeta
OTU_68,Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Protobranchia,Acharax
OTU_69,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Acharia
OTU_70,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Achipteria
OTU_71,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,Saprolegniales,Achlya
OTU_73,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Achroceratosphaeria
OTU_74,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Achromadora
OTU_77,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Aciculosporium
OTU_96,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Acidoproctus
